code_module,code_presentation,id_assessment,assessment_type,assessment_date,weight
AAA,2013J,1752,TMA,1970-01-01,10.0
AAA,2013J,1753,TMA,1970-01-01,20.0
AAA,2013J,1754,TMA,1970-01-01,20.0
AAA,2013J,1755,TMA,1970-01-01,20.0
AAA,2013J,1756,TMA,1970-01-01,30.0
AAA,2013J,1757,Exam,,100.0
AAA,2014J,1758,TMA,1970-01-01,10.0
AAA,2014J,1759,TMA,1970-01-01,20.0
AAA,2014J,1760,TMA,1970-01-01,20.0
AAA,2014J,1761,TMA,1970-01-01,20.0
AAA,2014J,1762,TMA,1970-01-01,30.0
AAA,2014J,1763,Exam,,100.0
BBB,2013B,14991,CMA,1970-01-01,1.0
BBB,2013B,14992,CMA,1970-01-01,1.0
BBB,2013B,14993,CMA,1970-01-01,1.0
BBB,2013B,14994,CMA,1970-01-01,1.0
BBB,2013B,14995,CMA,1970-01-01,1.0
BBB,2013B,14984,TMA,1970-01-01,5.0
BBB,2013B,14985,TMA,1970-01-01,18.0
BBB,2013B,14986,TMA,1970-01-01,18.0
BBB,2013B,14987,TMA,1970-01-01,18.0
BBB,2013B,14988,TMA,1970-01-01,18.0
BBB,2013B,14989,TMA,1970-01-01,18.0
BBB,2013B,14990,Exam,,100.0
BBB,2013J,15003,CMA,1970-01-01,1.0
BBB,2013J,15004,CMA,1970-01-01,1.0
BBB,2013J,15005,CMA,1970-01-01,1.0
BBB,2013J,15006,CMA,1970-01-01,1.0
BBB,2013J,15007,CMA,1970-01-01,1.0
BBB,2013J,14996,TMA,1970-01-01,5.0
BBB,2013J,14997,TMA,1970-01-01,18.0
BBB,2013J,14998,TMA,1970-01-01,18.0
BBB,2013J,14999,TMA,1970-01-01,18.0
BBB,2013J,15000,TMA,1970-01-01,18.0
BBB,2013J,15001,TMA,1970-01-01,18.0
BBB,2013J,15002,Exam,,100.0
BBB,2014B,15015,CMA,1970-01-01,1.0
BBB,2014B,15016,CMA,1970-01-01,1.0
BBB,2014B,15017,CMA,1970-01-01,1.0
BBB,2014B,15018,CMA,1970-01-01,1.0
BBB,2014B,15019,CMA,1970-01-01,1.0
BBB,2014B,15008,TMA,1970-01-01,5.0
BBB,2014B,15009,TMA,1970-01-01,18.0
BBB,2014B,15010,TMA,1970-01-01,18.0
BBB,2014B,15011,TMA,1970-01-01,18.0
BBB,2014B,15012,TMA,1970-01-01,18.0
BBB,2014B,15013,TMA,1970-01-01,18.0
BBB,2014B,15014,Exam,,100.0
BBB,2014J,15020,TMA,1970-01-01,0.0
BBB,2014J,15021,TMA,1970-01-01,10.0
BBB,2014J,15022,TMA,1970-01-01,20.0
BBB,2014J,15023,TMA,1970-01-01,35.0
BBB,2014J,15024,TMA,1970-01-01,35.0
BBB,2014J,15025,Exam,,100.0
CCC,2014B,24286,CMA,1970-01-01,2.0
CCC,2014B,24287,CMA,1970-01-01,7.0
CCC,2014B,24288,CMA,1970-01-01,8.0
CCC,2014B,24289,CMA,1970-01-01,8.0
CCC,2014B,24282,TMA,1970-01-01,9.0
CCC,2014B,24283,TMA,1970-01-01,22.0
CCC,2014B,24284,TMA,1970-01-01,22.0
CCC,2014B,24285,TMA,1970-01-01,22.0
CCC,2014B,24290,Exam,,100.0
CCC,2014B,40087,Exam,,100.0
CCC,2014J,24295,CMA,1970-01-01,2.0
CCC,2014J,24296,CMA,1970-01-01,7.0
CCC,2014J,24297,CMA,1970-01-01,8.0
CCC,2014J,24298,CMA,1970-01-01,8.0
CCC,2014J,24291,TMA,1970-01-01,9.0
CCC,2014J,24292,TMA,1970-01-01,22.0
CCC,2014J,24293,TMA,1970-01-01,22.0
CCC,2014J,24294,TMA,1970-01-01,22.0
CCC,2014J,24299,Exam,,100.0
CCC,2014J,40088,Exam,,100.0
DDD,2013B,25341,CMA,1970-01-01,2.0
DDD,2013B,25342,CMA,1970-01-01,3.0
DDD,2013B,25343,CMA,1970-01-01,3.0
DDD,2013B,25344,CMA,1970-01-01,4.0
DDD,2013B,25345,CMA,1970-01-01,4.0
DDD,2013B,25346,CMA,1970-01-01,3.0
DDD,2013B,25347,CMA,1970-01-01,6.0
DDD,2013B,25334,TMA,1970-01-01,7.5
DDD,2013B,25335,TMA,1970-01-01,10.0
DDD,2013B,25336,TMA,1970-01-01,12.5
DDD,2013B,25337,TMA,1970-01-01,15.0
DDD,2013B,25338,TMA,1970-01-01,15.0
DDD,2013B,25339,TMA,1970-01-01,15.0
DDD,2013B,25340,Exam,1970-01-01,100.0
DDD,2013J,25348,TMA,1970-01-01,10.0
DDD,2013J,25349,TMA,1970-01-01,12.5
DDD,2013J,25350,TMA,1970-01-01,17.5
DDD,2013J,25351,TMA,1970-01-01,20.0
DDD,2013J,25352,TMA,1970-01-01,20.0
DDD,2013J,25353,TMA,1970-01-01,20.0
DDD,2013J,25354,Exam,1970-01-01,100.0
DDD,2014B,25355,TMA,1970-01-01,10.0
DDD,2014B,25356,TMA,1970-01-01,12.5
DDD,2014B,25357,TMA,1970-01-01,17.5
DDD,2014B,25358,TMA,1970-01-01,20.0
DDD,2014B,25359,TMA,1970-01-01,20.0
DDD,2014B,25360,TMA,1970-01-01,20.0
DDD,2014B,25361,Exam,1970-01-01,100.0
DDD,2014J,25362,TMA,1970-01-01,5.0
DDD,2014J,25363,TMA,1970-01-01,10.0
DDD,2014J,25364,TMA,1970-01-01,10.0
DDD,2014J,25365,TMA,1970-01-01,25.0
DDD,2014J,25366,TMA,1970-01-01,25.0
DDD,2014J,25367,TMA,1970-01-01,25.0
DDD,2014J,25368,Exam,,100.0
EEE,2013J,30709,TMA,1970-01-01,16.0
EEE,2013J,30710,TMA,1970-01-01,28.0
EEE,2013J,30711,TMA,1970-01-01,28.0
EEE,2013J,30712,TMA,1970-01-01,28.0
EEE,2013J,30713,Exam,1970-01-01,100.0
EEE,2014B,30714,TMA,1970-01-01,16.0
EEE,2014B,30715,TMA,1970-01-01,28.0
EEE,2014B,30716,TMA,1970-01-01,28.0
EEE,2014B,30717,TMA,1970-01-01,28.0
EEE,2014B,30718,Exam,1970-01-01,100.0
EEE,2014J,30719,TMA,1970-01-01,16.0
EEE,2014J,30720,TMA,1970-01-01,28.0
EEE,2014J,30721,TMA,1970-01-01,28.0
EEE,2014J,30722,TMA,1970-01-01,28.0
EEE,2014J,30723,Exam,1970-01-01,100.0
FFF,2013B,34865,CMA,1970-01-01,0.0
FFF,2013B,34866,CMA,1970-01-01,0.0
FFF,2013B,34867,CMA,1970-01-01,0.0
FFF,2013B,34868,CMA,1970-01-01,0.0
FFF,2013B,34869,CMA,1970-01-01,0.0
FFF,2013B,34871,CMA,1970-01-01,0.0
FFF,2013B,34870,CMA,1970-01-01,0.0
FFF,2013B,34860,TMA,1970-01-01,12.5
FFF,2013B,34861,TMA,1970-01-01,12.5
FFF,2013B,34862,TMA,1970-01-01,25.0
FFF,2013B,34863,TMA,1970-01-01,25.0
FFF,2013B,34864,TMA,1970-01-01,25.0
FFF,2013B,34872,Exam,1970-01-01,100.0
FFF,2013J,34878,CMA,1970-01-01,0.0
FFF,2013J,34879,CMA,1970-01-01,0.0
FFF,2013J,34880,CMA,1970-01-01,0.0
FFF,2013J,34881,CMA,1970-01-01,0.0
FFF,2013J,34882,CMA,1970-01-01,0.0
FFF,2013J,34884,CMA,1970-01-01,0.0
FFF,2013J,34883,CMA,1970-01-01,0.0
FFF,2013J,34873,TMA,1970-01-01,12.5
FFF,2013J,34874,TMA,1970-01-01,12.5
FFF,2013J,34875,TMA,1970-01-01,25.0
FFF,2013J,34876,TMA,1970-01-01,25.0
FFF,2013J,34877,TMA,1970-01-01,25.0
FFF,2013J,34885,Exam,1970-01-01,100.0
FFF,2014B,34891,CMA,1970-01-01,0.0
FFF,2014B,34892,CMA,1970-01-01,0.0
FFF,2014B,34893,CMA,1970-01-01,0.0
FFF,2014B,34894,CMA,1970-01-01,0.0
FFF,2014B,34895,CMA,1970-01-01,0.0
FFF,2014B,34897,CMA,1970-01-01,0.0
FFF,2014B,34896,CMA,1970-01-01,0.0
FFF,2014B,34886,TMA,1970-01-01,12.5
FFF,2014B,34887,TMA,1970-01-01,12.5
FFF,2014B,34888,TMA,1970-01-01,25.0
FFF,2014B,34889,TMA,1970-01-01,25.0
FFF,2014B,34890,TMA,1970-01-01,25.0
FFF,2014B,34898,Exam,1970-01-01,100.0
FFF,2014J,34904,CMA,1970-01-01,0.0
FFF,2014J,34905,CMA,1970-01-01,0.0
FFF,2014J,34906,CMA,1970-01-01,0.0
FFF,2014J,34907,CMA,1970-01-01,0.0
FFF,2014J,34908,CMA,1970-01-01,0.0
FFF,2014J,34910,CMA,1970-01-01,0.0
FFF,2014J,34909,CMA,1970-01-01,0.0
FFF,2014J,34899,TMA,1970-01-01,12.5
FFF,2014J,34900,TMA,1970-01-01,12.5
FFF,2014J,34901,TMA,1970-01-01,25.0
FFF,2014J,34902,TMA,1970-01-01,25.0
FFF,2014J,34903,TMA,1970-01-01,25.0
FFF,2014J,34911,Exam,1970-01-01,100.0
GGG,2013J,37418,CMA,1970-01-01,0.0
GGG,2013J,37419,CMA,1970-01-01,0.0
GGG,2013J,37420,CMA,1970-01-01,0.0
GGG,2013J,37421,CMA,1970-01-01,0.0
GGG,2013J,37422,CMA,1970-01-01,0.0
GGG,2013J,37423,CMA,1970-01-01,0.0
GGG,2013J,37415,TMA,1970-01-01,0.0
GGG,2013J,37416,TMA,1970-01-01,0.0
GGG,2013J,37417,TMA,1970-01-01,0.0
GGG,2013J,37424,Exam,1970-01-01,100.0
GGG,2014B,37428,CMA,1970-01-01,0.0
GGG,2014B,37429,CMA,1970-01-01,0.0
GGG,2014B,37430,CMA,1970-01-01,0.0
GGG,2014B,37431,CMA,1970-01-01,0.0
GGG,2014B,37432,CMA,1970-01-01,0.0
GGG,2014B,37433,CMA,1970-01-01,0.0
GGG,2014B,37425,TMA,1970-01-01,0.0
GGG,2014B,37426,TMA,1970-01-01,0.0
GGG,2014B,37427,TMA,1970-01-01,0.0
GGG,2014B,37434,Exam,1970-01-01,100.0
GGG,2014J,37438,CMA,1970-01-01,0.0
GGG,2014J,37439,CMA,1970-01-01,0.0
GGG,2014J,37440,CMA,1970-01-01,0.0
GGG,2014J,37441,CMA,1970-01-01,0.0
GGG,2014J,37442,CMA,1970-01-01,0.0
GGG,2014J,37443,CMA,1970-01-01,0.0
GGG,2014J,37435,TMA,1970-01-01,0.0
GGG,2014J,37436,TMA,1970-01-01,0.0
GGG,2014J,37437,TMA,1970-01-01,0.0
GGG,2014J,37444,Exam,1970-01-01,100.0
